,team
0,01 Frankfurt Germany 296 67 23 88 6 44
1,02 Chelsea England 278 66 25 82 6 41
2,03 Salzburg Austria 272 101 46 125 6 55
3,04 Leverkusen Germany 266 78 27 127 6 51
4,05 Bayern Germany 255 85 32 78 6 53
5,05 Napoli Italy 255 66 25 112 6 41
6,07 Benfica Portugal 252 93 35 111 6 58
7,07 Dortmund Germany 252 68 26 100 6 42
8,09 Ajax Netherlands 246 93 42 102 6 51
9,10 Leipzig Germany 245 51 26 72 6 25
10,11 M._Haifa Israel 244 84 20 130 6 64
11,12 Liverpool England 243 81 34 58 6 47
12,12 Marseille France 243 55 11 63 6 44
13,14 Porto Portugal 242 76 25 113 6 51
14,15 Tottenham England 241 73 11 110 6 62
