,team
0,01 Chelsea England 82 83 12 6 0
1,01 Frankfurt Germany 82 63 14 6 1
2,03 Leverkusen Germany 80 50 19 6 1
3,04 Ajax Netherlands 78 48 15 6 1
4,05 Salzburg Austria 77 50 11 6 0
5,05 M._Haifa Israel 77 46 14 6 0
6,07 Milan Italy 74 62 15 6 1
7,07 Bayern Germany 74 61 11 6 0
8,09 Tottenham England 71 57 15 6 1
9,09 Benfica Portugal 71 51 13 6 0
10,09 Copenhagen Denmark 71 42 12 6 1
11,12 Juventus Italy 68 67 14 6 0
12,13 Sporting_CP Portugal 67 73 17 6 3
13,13 Liverpool England 67 47 8 6 0
14,15 Marseille France 66 81 11 6 1
15,15 Porto Portugal 66 71 18 6 1
16,17 Shakhtar_Donetsk Ukraine 65 47 16 6 0
17,18 Inter Italy 64 63 15 6 1
18,19 Dinamo_Zagreb Croatia 61 75 13 6 0
19,20 Plzeň Czech_Republic 59 52 12 6 1
20,21 Napoli Italy 57 80 9 6 0
21,21 Barcelona Spain 57 70 10 6 0
22,23 Sevilla Spain 56 75 13 6 0
23,23 Atlético Spain 56 60 13 6 0
24,25 Club_Brugge Belgium 55 58 21 6 1
25,26 Dortmund Germany 52 55 8 6 0
26,27 Paris France 50 89 11 6 0
27,27 Rangers Scotland 50 55 10 6 1
28,27 Celtic Scotland 50 37 7 6 0
29,30 Leipzig Germany 49 61 5 6 0
