,team
0,01 Plzeň Czech_Republic 32 24 0 0 2 6 0
1,02 Shakhtar_Donetsk Ukraine 31 10 2 0 10 6 0
2,02 Club_Brugge Belgium 31 4 0 5 5 6 0
3,04 Rangers Scotland 29 22 0 0 0 6 1
4,04 Inter Italy 29 7 1 3 4 6 0
5,06 Copenhagen Denmark 27 12 1 2 0 6 1
6,07 Dinamo_Zagreb Croatia 25 11 1 1 2 6 0
7,08 Porto Portugal 23 7 1 3 4 6 3
8,09 Ajax Netherlands 22 16 0 1 1 6 0
9,09 Sporting_CP Portugal 22 9 0 2 2 6 0
10,09 Salzburg Austria 22 9 0 1 3 6 0
11,12 M._Haifa Israel 21 21 1 1 2 6 0
12,13 Juventus Italy 20 13 0 0 1 6 0
13,13 Milan Italy 20 7 0 2 2 6 0
14,13 Real_Madrid Spain 20 6 0 2 4 6 1
15,13 Dortmund Germany 20 5 0 2 1 6 1
16,17 Barcelona Spain 19 12 0 0 2 6 0
17,17 Atlético Spain 19 9 0 1 0 6 0
18,19 Sevilla Spain 18 12 0 2 4 6 0
19,19 Leverkusen Germany 18 8 0 2 0 6 1
20,21 Paris France 17 7 1 0 2 6 0
21,21 Napoli Italy 17 6 0 2 7 6 0
22,21 Tottenham England 17 6 0 2 3 6 0
23,21 Bayern Germany 17 2 0 5 1 6 0
24,25 Celtic Scotland 16 15 0 0 0 6 0
25,25 Frankfurt Germany 16 8 0 2 5 6 0
26,27 Benfica Portugal 15 7 0 1 2 6 0
27,28 Marseille France 12 8 0 1 4 6 0
28,28 Chelsea England 12 4 0 2 4 6 0
29,30 Leipzig Germany 11 9 0 2 1 6 0
