,team
0,01 Napoli Italy 20 8 7 0 19 1 3 6 5
1,02 Bayern Germany 18 12 3 0 15 2 0 6 2
2,03 Liverpool England 17 5 9 0 15 2 1 6 3
3,04 Paris France 16 8 7 0 11 4 1 6 0
4,04 Benfica Portugal 16 7 4 0 12 3 3 6 3
5,06 Real_Madrid Spain 15 9 4 0 13 2 3 6 2
6,07 Man_City England 14 5 8 0 12 1 1 6 0
7,08 Leipzig Germany 13 7 3 1 12 0 0 6 1
8,09 Porto Portugal 12 9 2 0 11 1 3 6 1
9,09 Barcelona Spain 12 4 5 0 11 1 0 6 3
10,09 Milan Italy 12 1 6 0 11 0 2 6 4
11,12 Ajax Netherlands 11 3 6 0 11 0 1 6 2
12,13 Chelsea England 10 6 4 0 8 2 1 6 0
13,13 Inter Italy 10 5 4 0 9 1 0 6 1
14,13 Dortmund Germany 10 4 4 0 10 0 0 6 2
15,16 Juventus Italy 9 1 5 0 8 1 0 6 3
16,17 Marseille France 8 5 0 0 8 0 1 6 3
17,17 Shakhtar_Donetsk Ukraine 8 3 4 0 6 2 0 6 1
18,17 Tottenham England 8 3 1 0 7 1 1 6 4
19,17 Sporting_CP Portugal 8 2 5 0 7 1 0 6 1
20,21 Frankfurt Germany 7 5 1 0 7 0 1 6 1
21,21 Club_Brugge Belgium 7 3 3 0 7 0 1 6 1
22,21 M._Haifa Israel 7 0 4 1 7 0 1 6 2
23,24 Sevilla Spain 6 2 0 0 6 0 0 6 4
24,25 Salzburg Austria 5 5 0 0 5 0 1 6 0
25,25 Plzeň Czech_Republic 5 2 1 0 5 0 1 6 2
26,25 Atlético Spain 5 2 1 0 2 2 0 6 1
27,28 Leverkusen Germany 4 2 2 0 4 0 0 6 0
28,28 Dinamo_Zagreb Croatia 4 2 1 0 3 1 0 6 1
29,28 Celtic Scotland 4 1 2 0 2 1 0 6 0
