,team
0,01 Messi Paris - Forward 4 8 0 5 17
1,01 João Cancelo Man_City - Defender 4 0 2 6 15
2,01 Diogo Jota Liverpool - Forward 4 0 0 4 3
3,04 Kimmich Bayern - Midfielder 3 16 0 5 3
4,04 Neymar Paris - Forward 3 14 0 5 27
5,04 Perišić Tottenham - Midfielder 3 11 1 5 6
6,04 De Bruyne Man_City - Midfielder 3 9 0 4 4
7,04 Di María Juventus - Forward 3 8 0 3 11
8,04 Mbappé Paris - Forward 3 1 8 6 39
9,04 Gnabry Bayern - Forward 3 1 4 5 6
10,04 André Silva Leipzig - Forward 3 0 3 6 1
11,04 Kvaratskhelia Napoli - Forward 3 0 0 5 29
12,04 Zambo Anguissa Napoli - Midfielder 3 0 0 5 11
13,04 Simakan Leipzig - Defender 3 0 0 6 8
14,04 Goretzka Bayern - Midfielder 3 0 0 5 1
