,team
0,01 Vinícius_Júnior Real_Madrid - Forward 25 12 8 6 5
1,01 Lewandowski Barcelona - Forward 25 11 6 5 8
2,03 Kvaratskhelia Napoli - Forward 22 6 10 5 6
3,04 Mbappé Paris - Forward 21 13 7 6 1
4,04 Griezmann Atlético - Forward 21 11 8 6 2
5,04 Rafa_Silva Benfica - Forward 21 9 8 6 4
6,07 Salah Liverpool - Forward 20 12 4 6 4
7,07 Chery M._Haifa - Forward 20 5 8 6 7
8,09 Taremi Porto - Forward 19 9 5 5 5
9,10 Rodrygo Real_Madrid - Forward 18 8 7 6 3
10,10 Messi Paris - Forward 18 8 5 5 5
11,12 Alexis_Sánchez Marseille - Forward 17 6 8 5 3
12,12 Kane Tottenham - Forward 17 4 7 6 6
13,14 Giroud Milan - Forward 16 12 4 6 0
14,14 Vlahović Juventus - Forward 16 8 7 5 1
15,14 Núñez Liverpool - Forward 16 8 4 6 4
16,14 Valverde Real_Madrid - Midfielder 16 6 5 5 5
17,14 O'Riley Celtic - Midfielder 16 5 9 6 2
18,19 Diaby Leverkusen - Forward 15 10 3 6 2
19,19 Son Tottenham - Midfielder 15 9 5 6 1
20,19 Nkunku Leipzig - Midfielder 15 8 5 6 2
21,19 Aubameyang Chelsea - Forward 15 8 4 6 3
22,19 Haaland Man_City - Forward 15 8 4 4 3
23,19 Schick Leverkusen - Forward 15 4 5 5 6
24,25 Mané Bayern - Forward 14 10 3 6 1
25,25 Džeko Inter - Forward 14 7 5 6 2
26,25 Atzili M._Haifa - Midfielder 14 7 5 6 2
27,25 Simeone Napoli - Forward 14 7 5 5 2
28,25 Benzema Real_Madrid - Forward 14 7 4 4 3
29,25 Neymar Paris - Forward 14 5 5 5 4
