,team
0,01 Otamendi Benfica - Defender 46 12 7 30 6 5
1,01 Balerdi Marseille - Defender 46 3 1 17 6 2
2,03 Hincapie Leverkusen - Defender 45 11 5 15 5 6
3,03 Mechele Club_Brugge - Defender 45 7 4 29 6 3
4,05 Perić Dinamo_Zagreb - Defender 43 9 7 41 6 2
5,05 Šutalo Dinamo_Zagreb - Defender 43 4 3 32 6 1
6,05 Di_Lorenzo Napoli - Defender 43 4 1 9 6 3
7,08 Álvarez Ajax - Midfielder 42 18 6 18 6 12
8,08 Pavlović Salzburg - Defender 42 15 7 33 6 8
9,08 Ramos Paris - Defender 42 4 0 15 6 4
10,11 Bondar Shakhtar_Donetsk - Defender 40 10 7 36 6 3
11,12 António_Silva Benfica - Defender 39 6 2 27 6 4
12,13 Florentino Benfica - Midfielder 38 18 6 7 6 12
13,13 Seiwald Salzburg - Midfielder 38 10 5 7 6 5
14,13 Tuta Frankfurt - Defender 38 7 2 15 5 5
