,team
0,01 Ugarte Sporting CP - Midfielder 16 10 2 468 6 0
1,01 Fernandez Benfica - Midfielder 16 4 3 429 5 0
2,03 Andrich Leverkusen - Midfielder 15 2 4 409 5 0
3,04 Sterling Chelsea - Midfielder 14 5 1 467 6 0
4,04 Rongier Marseille - Midfielder 14 4 0 471 6 0
5,06 Abu Fani M._Haifa - Midfielder 13 12 1 400 6 0
6,06 Álvarez Ajax - Midfielder 13 4 2 533 6 0
7,06 Mišić Dinamo_Zagreb - Midfielder 13 4 1 521 6 0
8,06 Jakić Frankfurt - Midfielder 13 3 2 513 6 0
9,06 Uribe Porto - Midfielder 13 1 3 438 5 0
10,11 Kudus Ajax - Midfielder 12 4 1 451 6 0
11,12 Mané Bayern - Forward 11 9 0 495 6 0
12,12 Pedro Gonçalves Sporting CP - Midfielder 11 4 2 364 5 1
13,14 Petković Dinamo_Zagreb - Forward 10 18 1 493 6 0
14,14 Verratti Paris - Midfielder 10 12 4 445 5 0
