,team
0,01 Kampl Leipzig - Midfielder 98.8 150 146 0 0 3 4 0
1,02 Eric_García Barcelona - Defender 98.5 184 180 1 1 1 4 100
2,03 Aké Man_City - Defender 98 247 239 0 0 1 3 0
3,03 A._Christensen Barcelona - Defender 98 219 215 0 0 7 3 0
4,03 Kimpembe Paris - Defender 98 61 59 0 0 3 2 0
5,03 Starfelt Celtic - Defender 98 48 47 0 0 0 1 0
6,03 Kamara Rangers - Midfielder 98 39 38 0 0 3 4 0
7,08 Boilesen Copenhagen - Defender 97.5 87 83 0 0 2 2 0
8,09 Danilo Paris - Midfielder 97.2 207 198 0 0 5 5 0
9,10 Rúben_Dias Man_City - Defender 97 451 437 2 0 6 5 0
10,10 Fernando Sevilla - Midfielder 97 76 74 0 0 1 1 0
11,10 Iñaki_Peña Barcelona - Goalkeeper 97 37 36 0 0 1 1 0
12,10 Rekik Sevilla - Defender 97 34 33 1 0 1 1 0
13,14 Stanišić Bayern - Defender 96.8 189 179 1 1 4 5 100
14,15 Lunin Real_Madrid - Goalkeeper 96.5 42 41 0 0 0 2 0
