,team
0,01 Trubin Shakhtar_Donetsk - Goalkeeper 31 10 0 10 6 0
1,01 Mignolet Club_Brugge - Goalkeeper 31 4 0 5 6 5
2,03 Onana Inter - Goalkeeper 29 7 0 4 6 3
3,04 Livaković Dinamo_Zagreb - Goalkeeper 25 11 0 2 6 1
4,05 Staněk Plzeň - Goalkeeper 24 19 0 2 5 0
5,05 McGregor Rangers - Goalkeeper 24 18 1 0 5 0
6,05 Grabara Copenhagen - Goalkeeper 24 9 1 0 4 1
7,08 Diogo Costa Porto - Goalkeeper 23 7 3 4 6 3
8,09 Pasveer Ajax - Goalkeeper 22 16 0 1 6 1
9,09 Köhn Salzburg - Goalkeeper 22 9 0 3 6 1
10,11 Cohen M._Haifa - Goalkeeper 21 21 0 2 6 1
11,12 Hradecky Leverkusen - Goalkeeper 18 8 1 0 6 2
12,12 Adán Sporting CP - Goalkeeper 18 5 0 2 5 2
13,14 Donnarumma Paris - Goalkeeper 17 7 0 2 6 0
14,14 Meret Napoli - Goalkeeper 17 6 0 7 6 2
