,team
0,01 Plzeň Czech Republic 32 24 0 0 2 6 0
1,02 Shakhtar_Donetsk Ukraine 31 10 2 0 10 6 0
2,02 Club_Brugge Belgium 31 4 0 5 5 6 0
3,04 Rangers Scotland 29 22 0 0 0 6 1
4,04 Inter Italy 29 7 1 3 4 6 0
5,06 Copenhagen Denmark 27 12 1 2 0 6 1
6,07 Dinamo_Zagreb Croatia 25 11 1 1 2 6 0
7,08 Porto Portugal 23 7 1 3 4 6 3
8,09 Ajax Netherlands 22 16 0 1 1 6 0
9,09 Sporting CP Portugal 22 9 0 2 2 6 0
10,09 Salzburg Austria 22 9 0 1 3 6 0
11,12 M._Haifa Israel 21 21 1 1 2 6 0
12,13 Juventus Italy 20 13 0 0 1 6 0
13,13 Milan Italy 20 7 0 2 2 6 0
14,13 Real_Madrid Spain 20 6 0 2 4 6 1
