,Rank,Equipe,Country,Total_attempt,Attempt_on_target,Attempt_off_target,Blocked,Match_played
0,01,Real_Madrid,Spain,114,42,49,6,23
1,02,Liverpool,England,110,47,39,6,24
2,03,Man_City,England,109,42,36,6,31
3,04,Bayern,Germany,106,51,34,6,21
4,04,Napoli,Italy,106,44,43,6,19
5,06,Atlético,Spain,94,35,33,6,26
6,07,Barcelona,Spain,92,34,33,6,25
7,07,Chelsea,England,92,33,33,6,26
8,09,Benfica,Portugal,83,34,29,6,20
9,09,Porto,Portugal,83,31,31,6,21
10,09,Leverkusen,Germany,83,29,33,6,21
11,12,Celtic,Scotland,82,29,34,6,19
12,12,Salzburg,Austria,82,26,36,6,20
13,12,Marseille,France,82,24,37,6,21
14,15,Paris,France,80,36,28,6,16
