,Rank,Equipe,Country,Ball_recover,Tackles,Tackles_Won,Tackles_Lost,Clearence_attempt,Match_played
0,01,Frankfurt,Germany,296,67,23,6,44,88
1,02,Chelsea,England,278,66,25,6,41,82
2,03,Salzburg,Austria,272,101,46,6,55,125
3,04,Leverkusen,Germany,266,78,27,6,51,127
4,05,Bayern,Germany,255,85,32,6,53,78
5,05,Napoli,Italy,255,66,25,6,41,112
6,07,Benfica,Portugal,252,93,35,6,58,111
7,07,Dortmund,Germany,252,68,26,6,42,100
8,09,Ajax,Netherlands,246,93,42,6,51,102
9,10,Leipzig,Germany,245,51,26,6,25,72
10,11,M._Haifa,Israel,244,84,20,6,64,130
11,12,Liverpool,England,243,81,34,6,47,58
12,12,Marseille,France,243,55,11,6,44,63
13,14,Porto,Portugal,242,76,25,6,51,113
14,15,Tottenham,England,241,73,11,6,62,110
