,Rank,Equipe,Country,Fouls_Commited,Fouls_Suffered,Yellow_card,Red_card,Match_Played
0,01,Chelsea,England,82,83,12,6,0
1,01,Frankfurt,Germany,82,63,14,6,1
2,03,Leverkusen,Germany,80,50,19,6,1
3,04,Ajax,Netherlands,78,48,15,6,1
4,05,Salzburg,Austria,77,50,11,6,0
5,05,M._Haifa,Israel,77,46,14,6,0
6,07,Milan,Italy,74,62,15,6,1
7,07,Bayern,Germany,74,61,11,6,0
8,09,Tottenham,England,71,57,15,6,1
9,09,Benfica,Portugal,71,51,13,6,0
10,09,Copenhagen,Denmark,71,42,12,6,1
11,12,Juventus,Italy,68,67,14,6,0
12,13,Sporting_CP,Portugal,67,73,17,6,3
13,13,Liverpool,England,67,47,8,6,0
14,15,Marseille,France,66,81,11,6,1
