,Rank,Nom,Equipe,Poste,Total_attempts,Attempts_on_target,Attempts_off_target,Blocked,Match_played
0,01,Vinícius_Júnior,Real_Madrid,Forward,25,12,8,5,6
1,01,Lewandowski,Barcelona,Forward,25,11,6,8,5
2,03,Kvaratskhelia,Napoli,Forward,22,6,10,6,5
3,04,Mbappé,Paris,Forward,21,13,7,1,6
4,04,Griezmann,Atlético,Forward,21,11,8,2,6
5,04,Rafa_Silva,Benfica,Forward,21,9,8,4,6
6,07,Salah,Liverpool,Forward,20,12,4,4,6
7,07,Chery,M._Haifa,Forward,20,5,8,7,6
8,09,Taremi,Porto,Forward,19,9,5,5,5
9,10,Rodrygo,Real_Madrid,Forward,18,8,7,3,6
10,10,Messi,Paris,Forward,18,8,5,5,5
11,12,Alexis_Sánchez,Marseille,Forward,17,6,8,3,5
12,12,Kane,Tottenham,Forward,17,4,7,6,6
13,14,Giroud,Milan,Forward,16,12,4,0,6
14,14,Vlahović,Juventus,Forward,16,8,7,1,5
