,Rank,Nom,Equipe,Poste,Ball_recover,Tackles,Tackles_Won,Tackles_Lost,Clearance_Attempts,Match_played
0,01,Otamendi,Benfica,Defender,46,12,7,5,30,6
1,01,Balerdi,Marseille,Defender,46,3,1,2,17,6
2,03,Hincapie,Leverkusen,Defender,45,11,5,6,15,5
3,03,Mechele,Club_Brugge,Defender,45,7,4,3,29,6
4,05,Perić,Dinamo_Zagreb,Defender,43,9,7,2,41,6
5,05,Šutalo,Dinamo_Zagreb,Defender,43,4,3,1,32,6
6,05,Di_Lorenzo,Napoli,Defender,43,4,1,3,9,6
7,08,Álvarez,Ajax,Midfielder,42,18,6,12,18,6
8,08,Pavlović,Salzburg,Defender,42,15,7,8,33,6
9,08,Ramos,Paris,Defender,42,4,0,4,15,6
10,11,Bondar,Shakhtar_Donetsk,Defender,40,10,7,3,36,6
11,12,António_Silva,Benfica,Defender,39,6,2,4,27,6
12,13,Florentino,Benfica,Midfielder,38,18,6,12,7,6
13,13,Seiwald,Salzburg,Midfielder,38,10,5,5,7,6
14,13,Tuta,Frankfurt,Defender,38,7,2,5,15,5
