,team
0,01 Kampl Leipzig - Midfielder 98.8 150 146 0 0 3 4 0
1,02 Eric García Barcelona - Defender 98.5 184 180 1 1 1 4 100
2,03 Aké Man_City - Defender 98 247 239 0 0 1 3 0
3,03 A. Christensen Barcelona - Defender 98 219 215 0 0 7 3 0
4,03 Kimpembe Paris - Defender 98 61 59 0 0 3 2 0
5,03 Starfelt Celtic - Defender 98 48 47 0 0 0 1 0
6,03 Kamara Rangers - Midfielder 98 39 38 0 0 3 4 0
7,08 Boilesen Copenhagen - Defender 97.5 87 83 0 0 2 2 0
8,09 Danilo Paris - Midfielder 97.2 207 198 0 0 5 5 0
9,10 Rúben Dias Man_City - Defender 97 451 437 2 0 6 5 0
10,10 Fernando Sevilla - Midfielder 97 76 74 0 0 1 1 0
11,10 Iñaki Peña Barcelona - Goalkeeper 97 37 36 0 0 1 1 0
12,10 Rekik Sevilla - Defender 97 34 33 1 0 1 1 0
13,14 Stanišić Bayern - Defender 96.8 189 179 1 1 4 5 100
14,15 Lunin Real_Madrid - Goalkeeper 96.5 42 41 0 0 0 2 0
15,16 Carter-Vickers Celtic - Defender 96 287 277 0 0 2 4 0
16,16 Laporte Man_City - Defender 96 249 240 0 0 1 3 0
17,16 Welsh Celtic - Defender 96 52 50 0 0 2 1 0
18,16 Ortega Man_City - Goalkeeper 96 51 49 0 0 1 2 0
19,16 Mendy Chelsea - Goalkeeper 96 24 23 0 0 1 1 0
20,21 De Ligt Bayern - Defender 95.7 187 178 0 0 2 3 0
21,22 Thiago Silva Chelsea - Defender 95.6 293 278 1 0 9 5 0
22,23 Stones Man_City - Defender 95.5 145 139 1 0 0 2 0
23,23 Gatti Juventus - Defender 95.5 61 58 1 0 2 2 0
24,25 Witsel Atlético - Midfielder 95.3 340 321 0 0 6 6 0
25,25 Koulibaly Chelsea - Defender 95.3 250 239 0 0 6 4 0
26,27 Rodri Man_City - Midfielder 95 457 433 4 0 6 5 0
27,27 Juan Jesus Napoli - Defender 95 44 42 0 0 2 1 0
28,29 Marquinhos Paris - Defender 94.8 332 316 0 0 13 6 0
29,29 Rüdiger Real_Madrid - Defender 94.8 238 225 0 0 4 4 0
